YM,MCT_NM,TYPE,latitude,longitude,ADDR,LOCAL_UE_CNT_RAT
202301,화북신안,T1,33.5209592,126.5680588,제주 제주시 화북일동 1968-23번지 1층,0.904761904761904
202301,한라생얼큰이,T1,33.5024432,126.5422186,제주 제주시 이도이동 408-13번지,0.906976744186046
202301,퍼드림식당,T1,33.2545545,126.5712908,제주 서귀포시 동홍동 647-4번지 1층,0.90566037735849
202301,탁탁,T1,33.4997117,126.5333991,제주 제주시 이도이동 1141-6번지,0.916666666666666
202301,춤추는식탁,T1,33.4890847,126.4317722,제주 제주시 외도일동 505-10번지 외도일동,0.910755148741418
202301,참맛골,T1,33.2582962,126.5774428,제주 서귀포시 토평동 3264-6번지,0.941176470588235
202301,차화술,T1,33.5099229,126.5328493,제주 제주시 일도이동 1020-21번지 2층,1.0
202301,차곡,T1,33.4902673,126.4979834,제주 제주시 연동 311-46번지 제주특별자치도교육청 지하,0.907894736842105
202301,진향갈비,T1,33.4946044,126.5274911,제주 제주시 도남동 54-22번지 1층,0.961038961038961
202301,지원,T1,33.5059021,126.5451693,제주 제주시 일도이동 46-1번지 혜성대유아파트 105동 102호,0.963636363636363
202301,주민상회 노형점,T1,33.4881247,126.478756,제주 제주시 노형동 1278-3번지 1층,0.903225806451612
202301,주민상회,T1,33.4960307,126.5271146,제주 제주시 도남동 918-15번지 1층,0.909090909090909
202301,제라진국밥,T1,33.5076471,126.5251434,제주 제주시 이도일동 1702-10번지,0.90625
202301,인자숯불갈비2호점,T1,33.4985158,126.5457077,제주 제주시 일도이동 109-15번지,0.910583941605839
202301,인자숯불갈비,T1,33.484629,126.5297762,제주 제주시 도남동 222-5번지 1층,0.913319238900634
202301,외도골목대장,T1,33.4869009,126.4323844,제주 제주시 외도일동 559-5번지 1층,0.9140625
202301,어우렁더우렁,T1,33.5216174,126.5671607,제주 제주시 화북일동 1967-1번지,0.902173913043478
202301,알에프(RF),T1,33.498539,126.53095,제주 제주시 이도이동 1180-3번지 2층,0.909722222222222
202301,심심포차,T1,33.498947,126.5348631,제주 제주시 이도이동 1136-15번지 1층,0.923636363636363
202301,스페샬삼도점,T1,33.5084725,126.5244294,제주 제주시 이도일동 1563-2번지 1층,0.926174496644295
202301,순덕이네왕갈비,T1,33.5222666,126.5673477,제주 제주시 화북일동 1944-10번지 1호,0.915094339622641
202301,순곱이네일도점,T1,33.5025946,126.5429127,제주 제주시 일도이동 49-4번지,0.90495867768595
202301,삼화왕갈비,T1,33.5147733,126.5740751,제주 제주시 화북일동 1017-2번지 B동,0.913669064748201
202301,빨간집삼화지구점,T1,33.514786,126.5760546,제주 제주시 화북일동 1023-1번지 1층,0.909482758620689
202301,빨간집베라체점,T1,33.4930002,126.5437069,제주 제주시 이도이동 1965-14번지 1층,0.913690476190476
202301,먹자,T1,33.4922872,126.4799779,제주 제주시 연동 1951-3번지,0.933333333333333
202301,놀부네,T1,33.4116979,126.2684558,제주 제주시 한림읍 한림리 905-18번지 1층,0.901315789473684
202301,김반장,T1,33.5044881,126.5408912,제주 제주시 일도이동 392-17번지,0.902298850574712
202301,고기대박집우방,T1,33.4824202,126.482984,제주 제주시 노형동 710번지 뉴월드복합빌딩 2층,0.933333333333333
202302,효진이네,T1,33.2489904,126.5671208,제주 서귀포시 서귀동 256-35번지,1.0
202302,화북신안,T1,33.5209592,126.5680588,제주 제주시 화북일동 1968-23번지 1층,0.912
202302,현정(상모1리마을회),T1,33.2262137,126.266397,제주 서귀포시 대정읍 상모리 2619번지,0.916666666666666
202302,한라생얼큰이 아라점,T1,33.4752061,126.5497605,제주 제주시 아라일동 6117-8번지 1층,0.92
202302,한라생얼큰이,T1,33.5024432,126.5422186,제주 제주시 이도이동 408-13번지,0.910662824207492
202302,통큰국밥,T1,33.4900161,126.4338057,제주 제주시 외도일동 485-8번지 1층,0.91076923076923
202302,춤추는식탁,T1,33.4890847,126.4317722,제주 제주시 외도일동 505-10번지 외도일동,0.911421911421911
202302,참맛골,T1,33.2582962,126.5774428,제주 서귀포시 토평동 3264-6번지,0.953488372093023
202302,진향갈비,T1,33.4946044,126.5274911,제주 제주시 도남동 54-22번지 1층,0.920454545454545
202302,주민상회,T1,33.4960307,126.5271146,제주 제주시 도남동 918-15번지 1층,0.911637931034482
202302,제주태원,T1,33.5089538,126.5389729,제주 제주시 일도이동 330-14번지 1층,0.9
202302,제주돈갈매기,T1,33.5031139,126.5414725,제주 제주시 이도이동 406-1번지,0.908
202302,정든공간,T1,33.4989633,126.5252575,제주 제주시 도남동 915번지,0.911764705882352
202302,일품왕솥뚜껑,T1,33.5070466,126.5409195,제주 제주시 일도이동 369-18번지,0.905172413793103
